,full_name,brand,resale_price,registered_year,engine_capacity,kms_driven,owner_type,transmission_type,fuel_type,mileage,body_type,seats
0,Maruti Baleno 1.2 Alpha,Maruti,545000.0,2017,1197.0,40000,First Owner,Manual,Petrol,21.4,Hatchback,5
1,Tata Hexa XTA,Tata,1000000.0,2018,2179.0,70000,First Owner,Automatic,Diesel,17.6,MUV,7
2,Maruti Swift Dzire VXI,Maruti,450000.0,2015,1197.0,70000,Second Owner,Manual,Petrol,20.85,Sedan,5
3,Maruti Swift Dzire VXI,Maruti,450000.0,2015,1197.0,70000,Second Owner,Manual,Petrol,20.85,Sedan,5
4,Hyundai i10 Magna 1.1,Hyundai,160000.0,2009,1086.0,80000,First Owner,Manual,Petrol,19.81,Hatchback,5
5,Hyundai i20 Active 1.2,Hyundai,470000.0,2015,1197.0,70000,First Owner,Manual,Petrol,17.19,Hatchback,5
6,Tata Tiago 1.05 Revotorq XZ,Tata,360000.0,2017,1047.0,120000,First Owner,Manual,Diesel,27.28,Hatchback,5
7,Hyundai i10 Magna 1.1,Hyundai,200000.0,2010,1086.0,60000,Second Owner,Manual,Petrol,19.81,Hatchback,5
8,Maruti Eeco 7 Seater Standard BSIV,Maruti,370000.0,2016,1196.0,20000,First Owner,Manual,Petrol,15.37,Minivans,7
9,Honda Amaze E i-Vtech,Honda,330000.0,2014,1198.0,70000,First Owner,Manual,Petrol,18.0,Sedan,5
10,Hyundai Xcent 1.2 VTVT SX,Hyundai,475000.0,2018,1197.0,60000,Second Owner,Manual,Petrol,20.14,Sedan,5
11,Maruti Ciaz Sigma BSIV,Maruti,686000.0,2020,1462.0,50000,Third Owner,Manual,Petrol,21.56,Sedan,5
12,Hyundai Venue SX Opt Executive Diesel,Hyundai,1250000.0,2021,1493.0,60000,First Owner,Manual,Diesel,23.7,SUV,5
13,Hyundai Venue SX Dual Tone Diesel BSIV,Hyundai,1100000.0,2021,1396.0,60000,First Owner,Manual,Diesel,23.7,SUV,5
14,Maruti Alto K10 VXI AGS Optional,Maruti,395000.0,2019,998.0,20000,First Owner,Automatic,Petrol,23.95,Hatchback,5
15,Maruti Wagon R LXI CNG,Maruti,350000.0,2016,998.0,40000,First Owner,Manual,CNG,26.6,Hatchback,5
16,Toyota Etios VX,Toyota,289000.0,2011,1496.0,50000,Second Owner,Manual,Petrol,17.6,Sedan,5
17,Toyota Corolla Altis Diesel D4DGL,Toyota,282000.0,2011,1364.0,150000,First Owner,Manual,Diesel,21.43,Sedan,5
18,Kia Sonet HTX Plus Turbo iMT BSVI,Kia,1000000.0,2021,998.0,10000,First Owner,Manual,Petrol,18.2,SUV,5
19,Maruti Ciaz Alpha BSVI,Maruti,785000.0,2020,1462.0,30000,Second Owner,Manual,Petrol,20.65,Sedan,5
20,Ford Ecosport 1.5 DV5 MT Ambiente,Ford,300000.0,2014,1498.0,150000,Third Owner,Manual,Diesel,22.7,SUV,5
21,Mitsubishi Outlander 2.4,Mitsubishi,397000.0,2011,2360.0,80000,Second Owner,Automatic,Petrol,11.3,SUV,5
22,Maruti Swift Dzire VDI,Maruti,375000.0,2015,1248.0,20000,First Owner,Manual,Diesel,26.59,Sedan,5
23,Maruti Alto K10 LXI,Maruti,100000.0,2011,998.0,120000,Third Owner,Manual,Petrol,20.92,Hatchback,5
24,Mitsubishi Outlander 2.4,Mitsubishi,397000.0,2011,2360.0,80000,Second Owner,Automatic,Petrol,11.3,SUV,5
25,Maruti Baleno Zeta,Maruti,675000.0,2021,1197.0,40000,First Owner,Manual,Petrol,21.01,Hatchback,5
26,Hyundai Xcent 1.2 VTVT SX,Hyundai,465000.00000000006,2018,1197.0,60000,Second Owner,Manual,Petrol,20.14,Sedan,5
27,Maruti Swift Dzire VXI,Maruti,480000.0,2015,1197.0,80000,Second Owner,Manual,Petrol,20.85,Sedan,5
28,Maruti Alto 800 LXI,Maruti,225000.0,2014,796.0,100000,First Owner,Manual,Petrol,22.74,Hatchback,5
29,Maruti Wagon R VXI Optional,Maruti,320000.0,2016,998.0,70000,Second Owner,Manual,Petrol,20.51,Hatchback,5
30,Hyundai Grand i10 Sportz,Hyundai,415000.00000000006,2015,1197.0,30000,First Owner,Manual,Petrol,18.9,Hatchback,5
31,Maruti Swift VDI,Maruti,240000.0,2012,1248.0,120000,Third Owner,Manual,Diesel,22.9,Hatchback,5
32,Mahindra XUV500 W6 2WD,Mahindra,350000.0,2013,2179.0,100000,Third Owner,Manual,Diesel,15.1,SUV,7
33,Mahindra XUV500 W6 2WD,Mahindra,350000.0,2013,2179.0,100000,Third Owner,Manual,Diesel,15.1,SUV,7
34,Tata New Safari DICOR 2.2 EX 4x2,Tata,296000.0,2013,2179.0,90000,Second Owner,Manual,Diesel,11.57,SUV,7
35,Tata New Safari DICOR 2.2 EX 4x2,Tata,296000.0,2013,2179.0,90000,Second Owner,Manual,Diesel,11.57,SUV,7
36,Tata Tiago 1.2 Revotron XE,Tata,316000.0,2018,1199.0,100000,First Owner,Manual,Petrol,23.84,Hatchback,5
37,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,750000.0,2017,1248.0,100000,Second Owner,Manual,Diesel,24.3,SUV,5
38,Maruti Ertiga VDI,Maruti,900000.0,2019,1248.0,120000,First Owner,Manual,Diesel,25.47,MUV,7
39,Maruti Celerio VXI BSVI,Maruti,560000.0,2022,998.0,10000,First Owner,Manual,Petrol,25.24,Hatchback,5
40,Maruti Vitara Brezza ZDi Plus,Maruti,800000.0,2017,1248.0,150000,First Owner,Manual,Diesel,24.3,SUV,5
41,Hyundai Creta 1.4 E Plus,Hyundai,900000.0,2017,1396.0,120000,Second Owner,Manual,Diesel,22.1,SUV,5
42,Maruti Alto 800 LXI,Maruti,280000.0,2019,796.0,80000,First Owner,Manual,Petrol,22.05,Hatchback,5
43,Toyota Innova 2.5 E Diesel MS 7-seater,Toyota,550000.0,2013,2494.0,90000,Second Owner,Manual,Diesel,11.4,Toyota,7
44,Toyota Innova 2.5 G (Diesel) 7 Seater BS III,Toyota,250000.0,2009,2494.0,150000,First Owner,Manual,Diesel,12.8,MUV,8
45,Tata Manza Aqua Quadrajet,Tata,150000.0,2011,1248.0,150000,First Owner,Manual,Diesel,18.8,Sedan,5
46,Tata Manza Aqua Quadrajet,Tata,150000.0,2011,1248.0,150000,First Owner,Manual,Diesel,18.8,Sedan,5
47,Hyundai Grand i10 1.2 CRDi Sportz Option,Hyundai,480000.0,2017,1186.0,20000,First Owner,Manual,Diesel,24.0,Hatchback,5
48,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,300000.0,2017,1196.0,150000,First Owner,Manual,CNG,21.94,Minivans,5
49,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,300000.0,2017,1196.0,150000,First Owner,Manual,CNG,21.94,Minivans,5
50,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,300000.0,2017,1196.0,150000,First Owner,Manual,CNG,21.94,Minivans,5
51,Audi A4 2.0 TDI,Audi,1200000.0,2014,1968.0,30000,Second Owner,Automatic,Diesel,16.55,Sedan,5
