,full_name,resale_price,registered_year,engine_capacity,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type
0,Maruti Baleno 1.2 Alpha,545000.0,2017,1197,Manual,40000,First Owner,Petrol,5,21.4,Hatchback
1,Tata Hexa XTA,1000000.0,2018,2179,Automatic,70000,First Owner,Diesel,7,17.6,MUV
2,Maruti Swift Dzire VXI,450000.0,2015,1197,Manual,70000,Second Owner,Petrol,5,20.85,Sedan
3,Maruti Swift Dzire VXI,450000.0,2015,1197,Manual,70000,Second Owner,Petrol,5,20.85,Sedan
4,Hyundai i10 Magna 1.1,160000.0,2009,1086,Manual,80000,First Owner,Petrol,5,19.81,Hatchback
5,Hyundai i20 Active 1.2,470000.0,2015,1197,Manual,70000,First Owner,Petrol,5,17.19,Hatchback
6,Tata Tiago 1.05 Revotorq XZ,360000.0,2017,1047,Manual,120000,First Owner,Diesel,5,27.28,Hatchback
7,Hyundai i10 Magna 1.1,200000.0,2010,1086,Manual,60000,Second Owner,Petrol,5,19.81,Hatchback
8,Maruti Eeco 7 Seater Standard BSIV,370000.0,2016,1196,Manual,20000,First Owner,Petrol,7,15.37,Minivans
10,Honda Amaze E i-Vtech,330000.0,2014,1198,Manual,70000,First Owner,Petrol,5,18.0,Sedan
11,Hyundai Xcent 1.2 VTVT SX,475000.0,2018,1197,Manual,60000,Second Owner,Petrol,5,20.14,Sedan
12,Maruti Ciaz Sigma BSIV,686000.0,2020,1462,Manual,50000,Third Owner,Petrol,5,21.56,Sedan
13,Hyundai Venue SX Opt Executive Diesel,1250000.0,2021,1493,Manual,60000,First Owner,Diesel,5,23.7,SUV
14,Hyundai Venue SX Dual Tone Diesel BSIV,1100000.0,2021,1396,Manual,60000,First Owner,Diesel,5,23.7,SUV
15,Maruti Alto K10 VXI AGS Optional,395000.0,2019,998,Automatic,20000,First Owner,Petrol,5,23.95,Hatchback
16,Maruti Wagon R LXI CNG,350000.0,2016,998,Manual,40000,First Owner,CNG,5,26.6,Hatchback
17,Toyota Etios VX,289000.0,2011,1496,Manual,50000,Second Owner,Petrol,5,17.6,Sedan
18,Toyota Corolla Altis Diesel D4DGL,282000.0,2011,1364,Manual,150000,First Owner,Diesel,5,21.43,Sedan
